id,guild_id,spawn_channel,enabled,silent
40,1340089040929685545,1340089041852301376,t,f
41,1440543514059608127,1440543514906595500,t,f
29,1420126592147132511,1437521310866477246,t,f
4,1440236276577206274,1440434186627580026,t,f
94,1449990361698013280,1449993911668969675,t,f
42,1440547044858003510,1440547045881675849,t,f
6,1430213345046429757,1433464325628231773,t,f
7,1361435762440011809,1365504659900338246,t,f
8,503002142089674753,1442984970984493277,t,f
9,1437934878460084296,1438030930102059140,t,f
10,1416985009633361963,1416985011596296334,t,f
11,1391514908713156730,1391519468294770769,t,f
12,1080335331070586920,1396995598586085407,t,f
14,1380212801825411254,1429486459915730974,t,f
15,1278875518724214887,1395877989631393963,t,f
13,1012536960184758343,1038466399791755475,t,f
43,1440545165583319173,1440545166208405587,t,f
18,1416563615087067288,1443038702103433327,t,f
16,888963871845523496,1443044496156655678,t,f
17,1359962499528654919,1361887811917316096,t,f
44,1287596527879065744,1287596527879065747,t,f
20,1324968305479651380,1407494035916062891,t,f
36,1368775196907143209,1394730977212760184,t,f
22,1398571517331247214,1398571518589403270,t,f
23,1353440946561482872,1443081410934997034,t,f
93,818306786334343249,818306786784182294,t,f
24,1432472559395409961,1432485652355743855,t,f
26,1203397501474967652,1441818030773370900,t,f
27,1117923447012601897,1319536825886314596,t,f
28,1375626525604315166,1388512774992167102,t,f
97,1422655705122476225,1459278850864189513,t,f
30,1442925731599355906,1442925732409114708,t,f
25,1390096536750526564,1397392934084677663,t,f
19,1388911512042864692,1443049379463303199,t,f
31,1384979199194038272,1384979199873388657,t,f
32,1403044817885200404,1431231810674626631,t,f
33,907836317604384809,907836318283890720,t,f
34,1187966515329384519,1443302346711891969,t,f
46,1418962531338420418,1443372318155083948,t,f
80,1358198301807350001,1426018367474765834,t,f
35,994031873091174420,1443302806894280889,t,f
109,1120199822796935228,1429729316664643624,t,f
38,1274555746339524688,1274555746339524691,t,f
39,1420745424981196832,1443314737579556965,t,f
47,1310093735521943583,1389339449263001732,t,f
48,1290839189629177936,1443398303281844225,t,f
49,1412154675347853435,1443426413939265648,t,f
50,1081930487595020339,1443428431227523092,t,f
51,1318052954955317389,1443433674702979112,t,f
95,1452794392254484535,1452799423548625028,t,f
53,927385505371414568,1101981686201327666,t,f
54,1136077339525128315,1443532856809750672,t,f
55,1399443713612189857,1443620001977471143,t,f
56,1394173204062535762,1394178475731976242,t,f
57,1436594164207714450,1436594488762962030,t,f
58,837235213632405514,1443630654817566910,t,f
60,1431467819370942597,1435490924720296048,t,f
81,1266612705607946313,1266612705607946316,t,f
61,1412891743510200472,1460143652813803795,t,f
62,1280282027660152884,1280282476375314573,t,f
64,1173208471328542790,1173219726852358174,t,f
65,1417676882417029212,1443803592678182952,t,f
