id,discord_id,donation_policy,privacy_policy,mention_policy,friend_policy,trade_cooldown_policy,extra_data,coins
70,1158219893603323924,1,2,1,1,1,{},0
71,1437253877690007682,1,2,1,1,1,{},0
60,887757598022058024,1,2,1,1,1,"{""last_claim_date"": ""2026-01-07T16:33:19.923532""}",0
72,1257741416311029805,1,2,1,1,1,{},0
19,782347394435252245,1,2,1,1,1,{},0
32,998110269307899904,1,1,1,1,1,"{""last_claim_date"": ""2026-01-13T12:49:46.934757""}",411100
20,352555551126978560,1,4,1,1,1,"{""last_claim_date"": ""2026-01-16T05:27:43.388024""}",6100
73,1208539865306898482,1,2,1,1,1,{},0
75,408073816779259915,1,2,1,1,1,{},0
29,318926848975175681,1,2,1,1,1,"{""last_claim_date"": ""2025-11-25T20:57:06.618085""}",0
31,1138177982045896856,1,2,1,1,1,{},0
33,232277815117086720,1,2,1,1,1,{},0
110,826987016872919041,1,2,1,1,1,{},0
40,1255294371046363284,1,2,1,1,1,"{""last_claim_date"": ""2025-11-29T15:26:31.615433""}",0
35,1305611260271923292,1,2,1,1,1,{},0
36,494898661562777610,1,2,1,1,1,{},0
37,654018786835300372,1,2,1,1,1,{},0
94,563463636539015189,1,1,1,1,1,{},0
38,1015047392187396176,1,2,1,1,1,{},0
39,401847959035183126,1,2,1,1,1,{},0
112,926903254456102912,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T00:41:18.914272""}",0
67,564902864808574997,1,2,1,1,1,"{""last_claim_date"": ""2025-12-16T18:14:34.453711""}",0
42,701087945280585768,1,2,1,1,1,{},0
44,811314277351686215,1,2,1,1,1,{},0
45,914048488407461898,1,2,1,1,1,{},0
21,370093397035188224,1,2,1,1,1,"{""last_claim_date"": ""2026-01-12T08:48:26.972964""}",0
24,1322496330433695847,1,2,1,1,1,"{""last_claim_date"": ""2026-01-13T15:51:55.189481""}",82100
48,1122130616788459570,1,2,1,1,1,{},0
49,740422079953895477,1,2,1,1,1,{},0
88,673061147892514826,1,2,1,1,1,"{""last_claim_date"": ""2025-12-04T04:57:13.023211""}",0
51,628708657055399976,1,2,1,1,1,{},0
34,740748104172830802,1,2,1,1,1,"{""last_claim_date"": ""2026-01-16T00:11:56.395282""}",0
102,554019955776028713,1,2,1,1,1,{},0
54,1390208744255655949,1,2,1,1,1,{},0
55,1042947872410308728,1,2,1,1,1,{},0
26,831665430720544798,1,2,1,1,1,"{""last_claim_date"": ""2025-12-02T05:49:38.958572""}",0
79,272637914612105216,1,2,1,1,1,"{""last_claim_date"": ""2025-12-20T15:34:23.739643""}",0
100,872665973851840532,1,2,1,1,1,"{""last_claim_date"": ""2025-12-27T08:23:44.149082""}",0
28,697510481019142234,1,2,1,1,1,"{""last_claim_date"": ""2025-12-04T19:32:55.574588""}",0
98,917251114972356628,1,2,1,1,1,{},0
61,462415439721529358,1,2,1,1,1,{},0
62,654145212469346324,1,2,1,1,1,"{""last_claim_date"": ""2025-11-26T18:31:11.014590""}",0
47,1107512002827530350,1,1,1,1,1,"{""last_claim_date"": ""2026-01-08T15:25:41.346178""}",0
63,583868706560540693,1,2,1,1,1,{},0
52,1122600141757632654,1,2,1,1,1,"{""last_claim_date"": ""2025-12-22T18:31:57.374792""}",0
